index32251723,indexpt,namept,siteno_x,index,site,mulpmad,vlpmad,cvlpmad,sitenoint,siteno_y,sitenostr,indexwS,namewS,siteno,numagesptbs,xbPTbs,numparts4res,VARPTbs,avgVARres,varVARres,varreseff,MER,cver,acvr,cvcvr,ASLD,tsptsld,cvptad,siteag,AQFR_CD,NAT_AQFR_C,Layer,WELL_DEPTH,OTOP_dep,OBTM_dep,TOP,BOT,ALT_VA,DEC_LAT_VA,DEC_LONG_V,Source,geometry,index32251724
19,19,ptad_333315090105302.csv,333315090105302,3,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333315090105302.csv,3610.377295,8558532.491,0.810302283,333315090105302.csv,3.33315E+14,3.33315E+14,19,well_summ_parts_333315090105302_21451903.csv,3.33315E+14,200,14421.40064,200,5.70353E+13,156900.2967,4.47543E+12,103766.9673,92.07853018,3.498413853,0.555994455,0.032998003,22.65777301,20883993827,523.6781854,USGS_333315090105302,112MRVA,N100MSRVVL,MRVA,40.5,30.5,40.5,30.5,40.5,125,33.554169,-90.181281,MAP 2022,POINT (-90.181281 33.554169),19
20,20,ptad_333547090180301.csv,333547090180301,27,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333547090180301.csv,3199.999902,112705.4929,0.104911374,333547090180301.csv,3.33547E+14,3.33547E+14,20,well_summ_parts_333547090180301_21451903.csv,3.33547E+14,100,2086.746626,100,3386544107,264.0568871,57645.12963,37.04513461,55.65181652,0.109366986,0.265096993,0.014300279,9.35783435,13187818.49,27.88743995,USGS_333547090180301,112MRVA,N100MSRVVL,MRVA,73,63,73,63,73,133,33.596481,-90.30095,MAP 2022,POINT (-90.30095 33.596481),20
21,21,ptad_333547090180501.csv,333547090180501,39,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333547090180501.csv,3419.816402,2337030.887,0.447022554,333547090180501.csv,3.33547E+14,3.33547E+14,21,well_summ_parts_333547090180501_21451903.csv,3.33547E+14,100,83749.8909,100,1.38659E+13,91.43150942,1135.46028,3.588826876,23.40697886,0.080933979,0.402232547,0.014092456,79.92292731,34541795.55,44.4621452,USGS_333547090180501,124SPRT,S100MSEMBM,MCAQ,-9999,-9999,-9999,190,200,132,33.596444,-90.3015,MAP 2022,POINT (-90.3015 33.596444),21
22,22,ptad_333548090180601.csv,333548090180601,61,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333548090180601.csv,449.9439086,202229.5776,0.999456647,333548090180601.csv,3.33548E+14,3.33548E+14,22,well_summ_parts_333548090180601_21451903.csv,3.33548E+14,100,66924.25598,100,1.43024E+15,473.1815515,848766.7308,302.7436513,44.43982387,0.391530134,0.356322591,0.057321037,38.66499125,30800453137,565.0943728,USGS_333548090180601,112MRVA,N100MSRVVL,MRVA,-9999,-9999,-9999,90,100,133,33.596639,-90.301472,MAP 2022,POINT (-90.301472 33.596639),22
23,23,ptad_333611090161501.csv,333611090161501,18,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333611090161501.csv,43.00722779,17.03263313,0.095962034,333611090161501.csv,3.33611E+14,3.33611E+14,23,well_summ_parts_333611090161501_21451903.csv,3.33611E+14,100,30299.08826,100,6.23291E+14,521.715091,417365.3196,243.3312303,52.13159094,0.299225049,0.423652673,0.008368108,25.01887011,18803925299,823.9784072,USGS_333611090161501,112MRVA,N100MSRVVL,MRVA,72.5,62.5,72.5,62.5,72.5,133,33.60295,-90.270769,MAP 2022,POINT (-90.270769 33.60295),23
24,24,ptad_333805090240501.csv,333805090240501,54,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333805090240501.csv,329.9653787,75023.18232,0.830097998,333805090240501.csv,3.33805E+14,3.33805E+14,24,well_summ_parts_333805090240501_21451903.csv,3.33805E+14,100,201.3755167,100,1111209045,111.1578766,1998.474678,20.47466647,24.58685399,0.184037132,0.441321089,0.04977273,0.966706024,3555418.653,165.5355272,USGS_333805090240501,112MRVA,N100MSRVVL,MRVA,79.5,69.5,79.5,69.5,79.5,121,33.634769,-90.401339,MAP 2022,POINT (-90.401339 33.634769),24
25,25,ptad_333824090320702.csv,333824090320702,67,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333824090320702.csv,13.98294428,6.33042704,0.179935923,333824090320702.csv,3.33824E+14,3.33824E+14,25,well_summ_parts_333824090320702_21451903.csv,3.33824E+14,100,571.5780415,100,12135379165,149.4710023,145821.423,121.015632,37.82913011,0.290799986,0.205083637,0.017148401,5.559103289,213634317.4,192.7308066,USGS_333824090320702,112MRVA,N100MSRVVL,MRVA,59.5,49.5,59.5,49.5,59.5,127,33.639981,-90.535381,MAP 2022,POINT (-90.535381 33.639981),25
26,26,ptad_333900090123702.csv,333900090123702,37,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333900090123702.csv,7099.619084,10072305.06,0.447022504,333900090123702.csv,3.339E+14,3.339E+14,26,well_summ_parts_333900090123702_21451903.csv,3.339E+14,300,69823.37042,300,8.40451E+12,60.87250339,356.2212203,1.369632485,16.99890517,0.068846374,0.452863372,0.002180957,67.95560088,4306665.135,41.51980254,USGS_333900090123702,112MRVA,N100MSRVVL,MRVA,220,-9999,-9999,180,220,136,33.65,-90.210278,MAP 2022,POINT (-90.210278 33.65),26
27,27,ptad_333900090123703.csv,333900090123703,72,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333900090123703.csv,156.9899798,9520.176898,0.621513513,333900090123703.csv,3.339E+14,3.339E+14,27,well_summ_parts_333900090123703_21451903.csv,3.339E+14,200,44297.03639,200,1.25843E+14,566.3043907,2769141.884,594.4306554,36.06237152,0.67607724,0.638547094,0.019568778,49.6756837,20710630891,253.2441361,USGS_333900090123703,112MRVA,N100MSRVVL,MRVA,90,-9999,-9999,50,90,136,33.65,-90.210278,MAP 2022,POINT (-90.210278 33.65),27
28,28,ptad_334144091284201.csv,334144091284201,63,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF334144091284201.csv,289.9576354,66449.64631,0.889020524,334144091284201.csv,3.34144E+14,3.34144E+14,28,well_summ_parts_334144091284201_21451903.csv,3.34144E+14,100,3251.512184,100,2.91257E+13,114.5478939,9608.179421,355.389221,37.75199186,0.49935828,0.342848846,0.043259976,4.874941202,1839011937,1659.789548,AR008_334144091284201,110ALVM,N100MSRVVL,MRVA,93.7,74,93,74,93,152,33.695556,-91.478333,MAP 2022,POINT (-91.478333 33.695556),28
